City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Sur,OM,2022-05-03 02:47:16,22.5667,59.5289,89.1,36,0,6.8
250,Utmanzai,PK,2022-05-03 02:47:17,34.188,71.7629,74.01,34,98,6.55
251,Nizhniy Tsasuchey,RU,2022-05-03 02:47:17,50.5167,115.1333,68.0,25,100,13.42
252,Solnechnyy,RU,2022-05-03 02:47:18,50.7214,136.6319,44.2,62,97,5.41
253,Gillette,US,2022-05-03 02:47:19,44.2911,-105.5022,42.94,73,20,15.99
254,Ocampo,MX,2022-05-03 02:47:19,21.65,-101.5,67.5,11,30,8.5
255,Huntsville,US,2022-05-03 02:47:08,34.7304,-86.5861,69.85,90,0,4.61
256,Olga,RU,2022-05-03 02:47:20,43.7444,135.2892,53.91,52,99,10.2
257,Upata,VE,2022-05-03 02:47:20,8.0086,-62.3989,74.19,81,5,5.99
258,Heinola,FI,2022-05-03 02:47:21,61.2056,26.0381,30.99,77,7,10.71
259,Faanui,PF,2022-05-03 02:47:21,-16.4833,-151.75,81.41,74,85,10.0
260,Nelson Bay,AU,2022-05-03 02:47:22,-32.7167,152.15,73.11,65,0,3.0
261,Mahalapye,BW,2022-05-03 02:47:22,-23.1041,26.8142,55.08,67,0,4.79
262,Vardo,NO,2022-05-03 02:47:23,70.3705,31.1107,28.78,62,100,22.5
263,Yaan,NG,2022-05-03 02:47:24,7.3833,8.5667,75.38,88,100,5.46
264,Anzio,IT,2022-05-03 02:47:24,41.4853,12.6179,57.45,91,78,6.38
265,Gat,IL,2022-05-03 02:47:25,31.61,34.7642,80.78,31,70,9.86
266,Anse-Bertrand,GP,2022-05-03 02:47:25,16.4721,-61.5078,76.82,100,43,18.3
267,Mongo,TD,2022-05-03 02:47:26,12.1844,18.693,87.1,36,54,6.85
268,Saskylakh,RU,2022-05-03 02:47:26,71.9167,114.0833,22.89,85,21,7.74
269,Vestmanna,FO,2022-05-03 02:47:27,62.1564,-7.1664,38.32,81,100,10.36
270,Kyzyl-Suu,KG,2022-05-03 02:47:27,42.3414,78.0056,63.36,35,47,2.77
